City,Exp Type,Amount
"Tarn Taran, India",Entertainment,429727
"Palladam, India",Fuel,429704
"Rae Bareli, India",Fuel,429699
"Najibabad, India",Grocery,429251
"Raayachuru, India",Food,428880
"Diphu, India",Entertainment,428590
"Paithan, India",Grocery,428507
"Risod, India",Fuel,428438
"Periyasemur, India",Grocery,428267
"Pasan, India",Entertainment,428263
"Arrah, India",Food,428061
"Yellandu, India",Grocery,427622
"Valparai, India",Bills,427133
"Sibsagar, India",Bills,426927
"Shenkottai, India",Fuel,426238
"Sirhind Fatehgarh Sahib, India",Grocery,425424
"Porbandar, India",Food,425383
"Taranagar, India",Grocery,425195
"Sangli, India",Bills,424855
"Chittoor, India",Bills,424762
"Tiruchendur, India",Bills,424575
"Jagtial, India",Grocery,424259
"Thakurdwara, India",Fuel,424010
"Tinsukia, India",Bills,424010
"Palasa Kasibugga, India",Grocery,423986
"Taliparamba, India",Fuel,423844
"Sonipat, India",Bills,423144
"Nawanshahr, India",Fuel,422682
"Pandharkaoda, India",Grocery,422561
"Darjiling, India",Food,422558
"Bharuch, India",Bills,421629
"Tharad, India",Bills,421606
"Darbhanga, India",Fuel,421531
"Sinnar, India",Food,421371
"Thiruvarur, India",Entertainment,420740
"Siruguppa, India",Grocery,420578
"Proddatur, India",Grocery,420000
"Aizawl, India",Food,419614
"Mandvi, India",Grocery,419516
"Sasaram, India",Entertainment,419324
"Amreli, India",Food,418642
"Mattannur, India",Grocery,418514
"Jorhat, India",Entertainment,418216
"Gaya, India",Bills,417957
"Tumkur, India",Bills,417563
"Zamania, India",Entertainment,417536
"Siana, India",Grocery,417180
"Rayachoti, India",Food,417077
"Udumalaipettai, India",Food,416927
"Wadi, India",Bills,416748
"North Lakhimpur, India",Bills,416571
"Belagavi, India",Bills,416342
"Porsa, India",Bills,416133
"Vidisha, India",Grocery,416052
"Rishikesh, India",Grocery,415568
"Talikota, India",Fuel,415033
"Arvi, India",Entertainment,414579
"Batala, India",Food,414302
"Sihora, India",Food,414237
"Vyara, India",Grocery,414232
"Nagarkurnool, India",Grocery,413968
"Rajampet, India",Entertainment,413618
"Charkhi Dadri, India",Grocery,413159
"Neemuch, India",Food,413124
"Chilakaluripet, India",Grocery,413016
"Petlad, India",Entertainment,412714
"Vatakara, India",Fuel,412451
"Maddur, India",Grocery,411440
"Pihani, India",Grocery,411378
"Bhadrak, India",Entertainment,411143
"Suar, India",Food,410516
"Gumia, India",Food,409966
"Vijainagar Ajmer, India",Entertainment,409934
"Naihati, India",Entertainment,409275
